name,yearID,G,AB,R,H,X2B,X3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,PA,X1B,AVG,OBP,SLG,OPS,IS0,X2B_PCT,X3B_PCT,HR_PCT,HR_H,RBI_PCT,RBI_H,R_PA,R_OB,SO_BB,SO_PCT,SB_PCT,SB_FREQ,SH_PCT,SF_PCT,GIDP_PCT,clust_dist
Cluster  1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Zobrist,2013,157,612,77,168,36,3,12,71,11,3,72,91,4,7,1,6,18,716,117,0.275,0.354,0.402,0.756,0.127,0.050,0.004,0.017,0.071,0.099,0.423,0.108,0.312,1.264,0.127,0.786,0.045,0.001,0.008,0.025,1.221487324
Jerry Royster,1985,90,249,31,70,13,2,5,31,6,5,32,31,1,1,3,2,6,293,50,0.281,0.363,0.410,0.772,0.129,0.044,0.007,0.017,0.071,0.106,0.443,0.106,0.301,0.969,0.106,0.545,0.058,0.010,0.007,0.020,1.282224286
Ken Caminiti,1992,135,506,68,149,31,2,13,62,10,4,44,68,13,1,2,4,14,571,103,0.294,0.350,0.441,0.790,0.146,0.054,0.004,0.023,0.087,0.109,0.416,0.119,0.351,1.545,0.119,0.714,0.052,0.004,0.007,0.025,1.331276921
John Roseboro,1966,142,445,47,123,23,2,9,53,3,2,44,51,13,3,4,4,11,511,89,0.276,0.343,0.398,0.740,0.121,0.045,0.004,0.018,0.073,0.104,0.431,0.092,0.276,1.159,0.100,0.600,0.018,0.008,0.008,0.022,1.380128399
John Lowenstein,1973,98,305,42,89,16,1,6,40,5,3,23,41,0,0,3,3,9,343,66,0.292,0.338,0.410,0.748,0.118,0.047,0.003,0.017,0.067,0.117,0.449,0.122,0.375,1.783,0.120,0.625,0.045,0.009,0.009,0.026,1.41154423
Andrelton Simmons,2018,146,554,68,162,26,5,11,75,10,2,35,44,2,5,1,5,17,617,120,0.292,0.337,0.417,0.754,0.125,0.042,0.008,0.018,0.068,0.122,0.463,0.110,0.337,1.257,0.071,0.833,0.050,0.002,0.008,0.028,1.686223849
Nick Markakis,2018,162,623,78,185,43,2,14,93,1,1,72,80,10,1,0,9,18,723,126,0.297,0.366,0.440,0.806,0.143,0.059,0.003,0.019,0.076,0.129,0.503,0.108,0.302,1.111,0.111,0.500,0.004,0.000,0.012,0.025,1.798563713
Buster Posey,2018,105,398,47,113,22,1,5,41,3,2,45,53,3,3,0,2,12,460,85,0.284,0.359,0.382,0.741,0.098,0.048,0.002,0.011,0.044,0.089,0.363,0.102,0.292,1.178,0.115,0.600,0.019,0.000,0.004,0.026,1.899241141
Ben Zobrist,2018,139,455,67,139,28,3,9,58,3,4,55,60,1,2,1,7,8,528,99,0.305,0.378,0.440,0.817,0.134,0.053,0.006,0.017,0.065,0.110,0.417,0.127,0.342,1.091,0.114,0.429,0.015,0.002,0.013,0.015,2.007266745
Brock Holt,2018,109,321,41,89,18,2,7,46,7,7,37,73,2,7,0,2,7,374,62,0.277,0.362,0.411,0.774,0.134,0.048,0.005,0.019,0.079,0.123,0.517,0.110,0.308,1.973,0.195,0.500,0.053,0.000,0.005,0.019,2.143503973
Cluster  2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Melvin,1986,89,268,24,60,14,2,5,25,3,2,15,69,1,0,3,3,7,296,39,0.224,0.262,0.347,0.609,0.123,0.047,0.007,0.017,0.083,0.084,0.417,0.081,0.320,4.600,0.233,0.600,0.040,0.010,0.010,0.024,1.728006094
Brennan Boesch,2012,132,470,52,113,22,2,12,54,6,3,26,104,1,5,0,2,11,514,77,0.240,0.286,0.372,0.659,0.132,0.043,0.004,0.023,0.106,0.105,0.478,0.101,0.361,4.000,0.202,0.667,0.042,0.000,0.004,0.021,1.787191995
Pedro Feliz,2001,94,220,23,50,9,1,7,22,2,1,10,50,2,2,3,3,5,243,33,0.227,0.264,0.373,0.637,0.145,0.037,0.004,0.029,0.140,0.091,0.440,0.095,0.371,5.000,0.206,0.667,0.032,0.012,0.012,0.021,1.910295321
Pete Mackanin,1976,114,380,36,85,15,2,8,33,6,2,15,66,1,2,3,1,10,411,60,0.224,0.256,0.337,0.593,0.113,0.036,0.005,0.019,0.094,0.080,0.388,0.088,0.353,4.400,0.161,0.750,0.059,0.007,0.002,0.024,1.935500824
Jose Castillo,2004,129,383,44,98,15,2,8,39,3,2,23,92,5,1,5,2,12,426,73,0.256,0.298,0.368,0.666,0.112,0.035,0.005,0.019,0.082,0.092,0.398,0.103,0.361,4.000,0.216,0.600,0.025,0.012,0.005,0.028,1.95998491
